<IMU_DATA>
Time=1.80,Ax=-0.00,Ay=-0.00,Az=0.96,Gx=-5.83,Gy=1.18,Gz=-0.79,Pitch=-0.27,Roll=-0.09,Velocity=0.00,Distance=0.00
Time=1.82,Ax=-0.01,Ay=0.01,Az=0.93,Gx=-0.17,Gy=0.20,Gz=-2.60,Pitch=0.76,Roll=-0.71,Velocity=0.00,Distance=0.00
Time=1.88,Ax=-0.01,Ay=0.04,Az=1.02,Gx=-1.03,Gy=0.60,Gz=0.20,Pitch=2.19,Roll=-0.66,Velocity=0.00,Distance=0.00
Time=1.90,Ax=-0.01,Ay=-0.02,Az=1.03,Gx=-1.35,Gy=-0.45,Gz=-1.87,Pitch=-1.05,Roll=-0.47,Velocity=0.00,Distance=0.00
Time=1.92,Ax=-0.01,Ay=-0.01,Az=1.04,Gx=-1.75,Gy=1.66,Gz=-1.00,Pitch=-0.67,Roll=-0.83,Velocity=0.00,Distance=0.00
Time=1.98,Ax=-0.01,Ay=-0.01,Az=1.06,Gx=-0.80,Gy=-1.56,Gz=-2.95,Pitch=-0.73,Roll=-0.28,Velocity=0.00,Distance=0.00
Time=2.10,Ax=-0.00,Ay=-0.00,Az=0.88,Gx=-1.19,Gy=-2.03,Gz=-2.27,Pitch=-0.09,Roll=-0.14,Velocity=0.00,Distance=0.00
Time=2.12,Ax=-0.00,Ay=0.08,Az=0.96,Gx=-7.72,Gy=-0.79,Gz=-2.01,Pitch=4.53,Roll=-0.17,Velocity=0.00,Distance=0.00
Time=2.14,Ax=0.06,Ay=-0.00,Az=0.99,Gx=-0.21,Gy=-0.53,Gz=-0.73,Pitch=-0.06,Roll=3.66,Velocity=0.00,Distance=0.00
Time=2.20,Ax=-0.01,Ay=-0.00,Az=0.75,Gx=-6.98,Gy=1.01,Gz=1.03,Pitch=-0.18,Roll=-1.10,Velocity=0.00,Distance=0.00
Time=2.22,Ax=0.03,Ay=0.19,Az=0.69,Gx=-0.97,Gy=-1.03,Gz=0.65,Pitch=15.70,Roll=2.73,Velocity=0.00,Distance=0.00
Time=2.24,Ax=0.08,Ay=0.01,Az=1.03,Gx=0.50,Gy=-1.78,Gz=-0.95,Pitch=0.67,Roll=4.23,Velocity=0.00,Distance=0.00
